Area Name,Area Type,SOC Title,Standard Occupational Classification (SOC),SOC Major Group,SOC Classification,2022 Estimated Employment,2032 Projected Employment,Change,Percent Change,Annualized Percent Growth (Grow Rate),Exits,Transfers,Openings,Mean Annual,Entry Annual,25th Percentile Anual,Median Annual,75th Percentile Annual,Experienced Annual,Typical Education Required for Entry,Typical Work Experience Required in Related Occupation,Typical On-the-Job Training Required to Achieve Competency
Kentucky,State Level,Total All occupations,000000,00,All,2049528,2146969,97441,4.7543,0.4656,1005096,1288925,2391462,54030,24880,31600,43730,62060,89810,,,
Kentucky,State Level,Management Occupations,110000,11,1st Degree,132055,142022,9967,7.5476,0.7303,38848,64583,113398,105980,43870,61360,91230,129120,176720,,,
Kentucky,State Level,Chief Executives,111011,11,,3830,3536,-294,-7.6762,-0.7955,1138,1279,2123,220200,86710,120360,171990,,,Bachelor's degree,5 years or more,None
Kentucky,State Level,General and Operations Managers,111021,11,,51299,54502,3203,6.2438,0.6075,13172,28413,44788,97500,36740,52440,78890,122510,172840,Bachelor's degree,5 years or more,None
Kentucky,State Level,Advertising and Promotions Managers,112011,11,,457,468,11,2.407,0.2381,96,308,415,86070,51490,67270,81600,101930,109600,Bachelor's degree,Less than 5 years,None
Kentucky,State Level,Marketing Managers,112021,11,,2295,2445,150,6.5359,0.6351,563,1284,1997,124670,60520,83230,115390,161150,198820,Bachelor's degree,5 years or more,None
Kentucky,State Level,Sales Managers,112022,11,,8164,8569,405,4.9608,0.4853,2036,4019,6460,125280,56790,76300,109300,157360,210000,Bachelor's degree,Less than 5 years,None
Kentucky,State Level,Public Relations Managers,112032,11,,467,488,21,4.4968,0.4408,108,210,339,112270,59500,78250,99620,138310,172100,Bachelor's degree,5 years or more,None
Kentucky,State Level,Fundraising Managers,112033,11,,211,222,11,5.2133,0.5095,49,95,155,110740,55950,70460,102380,136390,180630,Bachelor's degree,5 years or more,None
Kentucky,State Level,Administrative Services Managers,113012,11,,2449,2608,159,6.4924,0.631,886,1045,2090,108370,56370,72170,99640,130160,170980,Bachelor's degree,Less than 5 years,None
Kentucky,State Level,Facilities Managers,113013,11,,1200,1267,67,5.5833,0.5448,396,529,992,91010,44520,60440,87150,115650,141520,Bachelor's degree,Less than 5 years,None
Kentucky,State Level,Computer and Information Systems Managers,113021,11,,2438,2784,346,14.192,1.336,508,1158,2012,135610,74500,100070,128350,162590,204470,Bachelor's degree,5 years or more,None
Kentucky,State Level,Financial Managers,113031,11,,6422,7486,1064,16.568,1.5449,1790,2838,5692,132350,64080,89160,122770,160490,209800,Bachelor's degree,5 years or more,None
Kentucky,State Level,Industrial Production Managers,113051,11,,4384,4651,267,6.0903,0.593,1093,1929,3289,110400,57540,80330,103740,132690,168890,Bachelor's degree,5 years or more,None
Kentucky,State Level,Purchasing Managers,113061,11,,545,584,39,7.156,0.6935,162,248,449,118140,70890,88270,109990,139340,169920,Bachelor's degree,5 years or more,None
Kentucky,State Level,"Transportation, Storage, and Distribution Managers",113071,11,,2763,3163,400,14.477,1.3612,836,1483,2719,96200,51400,67080,88290,115040,146080,High school diploma or equivalent,5 years or more,None
Kentucky,State Level,Compensation and Benefits Managers,113111,11,,144,146,2,1.3889,0.138,34,55,91,149340,66290,78480,105480,147780,,Bachelor's degree,5 years or more,None
Kentucky,State Level,Human Resources Managers,113121,11,,2255,2367,112,4.9667,0.4859,658,1049,1819,117890,67610,86280,111130,132170,170040,Bachelor's degree,5 years or more,None
Kentucky,State Level,Training and Development Managers,113131,11,,333,370,37,11.1111,1.0592,85,182,304,97980,58440,77080,95170,121320,133500,Bachelor's degree,5 years or more,None
Kentucky,State Level,"Farmers, Ranchers, and Other Agricultural Managers",119013,11,,4454,4530,76,1.7063,0.1693,3139,1496,4711,71330,24300,47610,63290,81930,128650,High school diploma or equivalent,5 years or more,None
Kentucky,State Level,"Education and Childcare Administrators, Preschool and Daycare",119031,11,,528,519,-9,-1.7045,-0.1718,143,201,335,44880,30330,35370,38230,50870,62810,Bachelor's degree,Less than 5 years,None
Kentucky,State Level,"Education Administrators, Kindergarten through Secondary",119032,11,,4295,4365,70,1.6298,0.1618,1182,1660,2912,93520,67120,81920,89770,105910,128620,Master's degree,5 years or more,None
Kentucky,State Level,"Education Administrators, Postsecondary",119033,11,,1314,1368,54,4.1096,0.4036,366,514,934,118510,52870,72140,102020,132760,216910,Master's degree,Less than 5 years,None
Kentucky,State Level,"Education Administrators, All Other",119039,11,,567,568,1,0.1764,0.0176,155,218,374,89920,52310,75360,93540,107390,117310,Bachelor's degree,Less than 5 years,None
Kentucky,State Level,Architectural and Engineering Managers,119041,11,,1312,1405,93,7.0884,0.6872,268,579,940,137220,90650,109750,129690,163140,187440,Bachelor's degree,5 years or more,None
Kentucky,State Level,Food Service Managers,119051,11,,2047,2166,119,5.8134,0.5667,769,1550,2438,62980,39000,44990,61260,74910,92430,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training
Kentucky,State Level,Gambling Managers,119071,11,,17,17,0,0,0,7,11,18,107970,49880,63480,94630,152480,193400,High school diploma or equivalent,Less than 5 years,None
Kentucky,State Level,Lodging Managers,119081,11,,115,128,13,11.3043,1.0767,46,71,130,58720,34490,40400,51520,73430,80430,High school diploma or equivalent,Less than 5 years,None
Kentucky,State Level,Medical and Health Services Managers,119111,11,,9659,12440,2781,28.7918,2.5626,3076,4570,10427,109640,57110,74740,97550,126380,172440,Bachelor's degree,Less than 5 years,None
Kentucky,State Level,Natural Sciences Managers,119121,11,,269,278,9,3.3457,0.3296,66,122,197,122570,66290,77750,111610,154870,203970,Bachelor's degree,5 years or more,None
Kentucky,State Level,Postmasters and Mail Superintendents,119131,11,,211,191,-20,-9.4787,-0.9909,61,84,125,92750,82990,85730,91150,96990,104940,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Kentucky,State Level,"Property, Real Estate, and Community Association Managers",119141,11,,4420,4577,157,3.552,0.3497,1891,1529,3577,53810,30110,38310,48790,64670,78260,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training
Kentucky,State Level,Social and Community Service Managers,119151,11,,1473,1587,114,7.7393,0.7482,494,683,1291,68110,43160,49980,62750,80090,99760,Bachelor's degree,Less than 5 years,None
Kentucky,State Level,Emergency Management Directors,119161,11,,121,126,5,4.1322,0.4057,32,51,88,75440,39480,48570,65750,91850,126270,Bachelor's degree,5 years or more,None
Kentucky,State Level,Funeral Home Managers,119171,11,,1685,1706,21,1.2463,0.1239,517,708,1246,57500,31470,43640,45150,63120,95990,Associate degree,Less than 5 years,None
Kentucky,State Level,"Managers, All Other",119199,11,,7237,7549,312,4.3112,0.423,2256,3089,5657,120390,51230,77340,113100,151300,188840,Bachelor's degree,Less than 5 years,None
Kentucky,State Level,Business and Financial Operations Occupations,130000,13,1st Degree,93329,98528,5199,5.5706,0.5436,29220,45539,79958,73360,39130,49910,65000,85650,109520,,,
Kentucky,State Level,"Agents and Business Managers of Artists, Performers, and Athletes",131011,13,,55,57,2,3.6364,0.3578,23,29,54,,,,,,,Bachelor's degree,Less than 5 years,None
Kentucky,State Level,Buyers and Purchasing Agents,131020,13,,4683,4453,-230,-4.9114,-0.5023,1692,2416,3878,67570,39870,49300,63190,79940,101520,Bachelor's degree,None,Moderate-term on-the-job training
Kentucky,State Level,"Claims Adjusters, Examiners, and Investigators",131031,13,,3361,3199,-162,-4.82,-0.4928,838,1353,2029,70790,38470,50870,70380,82480,102900,High school diploma or equivalent,None,Long-term on-the-job training
Kentucky,State Level,"Insurance Appraisers, Auto Damage",131032,13,,217,208,-9,-4.1475,-0.4227,54,88,133,73980,61830,66510,74810,77440,91150,Postsecondary nondegree award,None,Moderate-term on-the-job training
Kentucky,State Level,Compliance Officers,131041,13,,5131,5392,261,5.0867,0.4974,1817,2172,4250,67970,37690,48560,63210,84540,103500,Bachelor's degree,None,Moderate-term on-the-job training
